,HRR25
ABP1,1
ACO1,1
ADO1,1
AIM41,1
ALD6,1
AMD1,1
AMS1,1
APE1,1
ARP8,1
ASC1,2
ASN1,1
ATG11,1
ATG19,4
ATG32,1
ATG34,3
ATG36,3
ATP4,1
BCK2,1
BMH1,1
BMH2,1
BNA1,1
BUD14,1
BUD16,1
BUD23,1
BUL2,1
CAF20,2
CAR2,2
CCR4,1
CDC25,3
CHS1,1
CKA2,1
CLC1,1
CMS1,1
COR1,1
CPA2,1
CRM1,1
CRZ1,6
CSM1,2
CYK3,1
CYS4,1
DCP1,4
DCP2,2
DED1,1
DHH1,4
DIM1,3
DNF1,1
DNM1,2
DOG2,1
DON1,1
DRS1,1
DSN1,2
EAF6,1
EDC3,2
EDE1,5
EGD2,1
ELP2,4
ELP3,2
ENP1,9
ENT3,1
ESL1,3
ESL2,4
FKS1,1
FPR3,1
GAC1,1
GAL10,1
GAS1,1
GBP2,1
GCN2,3
GCN3,1
GIC2,1
GIS4,1
GLC7,1
GLN3,1
GPH1,1
GSY1,1
GSY2,2
HAA1,2
HAP4,1
HEK2,1
HHF1,1
HOF1,1
HRI1,2
HRR25,2
HSP104,1
HSP82,1
HSV2,1
HXT7,1
HYP2,1
IKI3,5
IPP1,1
IRA1,1
IRA2,1
IRC19,1
IRC8,1
ISN1,1
ISW1,1
KRR1,1
KTI11,1
KTI12,3
LOC1,1
LRS4,3
LSP1,1
LTV1,7
MAM1,9
MAM33,1
MCH5,1
MDH1,1
MDM36,1
MDS3,3
MGE1,1
MIH1,2
MMS22,1
MPS1,2
MRPL10,1
MSN4,1
MSP1,1
MTD1,1
MVP1,1
NAB2,1
NAM7,2
NAS2,1
NMD4,1
NNK1,2
NNT1,1
NOB1,3
NOC4,1
NPR1,1
NSA1,1
NSP1,1
NUG1,1
NUP159,1
NUP53,2
NUP82,1
OYE2,1
OYE3,1
PAT1,1
PCL10,3
PET130,1
PEX14,1
PEX19,1
PEX3,1
PFS1,4
PIL1,1
PIN4,3
PMD1,2
POL2,1
PRS1,1
PTC3,1
PTC4,1
PUF2,1
PUF3,6
PXL1,1
QNS1,1
RAD51,1
RCK1,1
REC8,3
RIM15,1
RIO2,10
RNH70,1
ROK1,1
RPC19,1
RPL17A,1
RPL25,1
RPL26A,1
RPL31A,1
RPM2,6
RPN11,1
RPO21,4
RPS0A,1
RPS10A,1
RPS11A,1
RPS12,1
RPS13,1
RPS14A,1
RPS15,1
RPS17A,1
RPS17B,1
RPS18A,1
RPS19A,1
RPS1A,1
RPS2,2
RPS20,1
RPS22A,2
RPS24B,1
RPS27A,1
RPS3,3
RPS4A,1
RPS5,1
RPS6A,1
RPS7A,1
RPS8A,3
RPS9A,2
RPS9B,1
RPT5,1
RRG1,1
RRG8,1
RTC1,1
RTG3,1
SAK1,1
SAP185,3
SAP190,1
SAS10,1
SCP160,1
SEA4,1
SEC2,1
SEC23,3
SEC24,1
SEC31,1
SES1,1
SET3,1
SFB3,2
SGM1,1
SIT4,3
SKG6,1
SKY1,1
SLX9,1
SMC1,1
SMC3,1
SPC97,1
SPC98,1
SPO13,1
SPT21,1
SSA1,2
SSE2,1
STE3,1
SUN4,1
SWI6,2
TGL1,1
TIF6,1
TIS11,1
TMA17,1
TMA19,1
TMT1,2
TOM22,1
TOM40,1
TSR1,4
TUB4,1
TUF1,1
UBA1,1
ULP2,1
URA8,1
URE2,1
UTP10,1
UTP7,1
VAM6,1
VHS2,1
VID27,1
VMA4,1
VPS55,1
WHI3,1
YBR225W,2
YDR186C,1
YER138C,1
YMR196W,1
YMR295C,1
YNL058C,1
YPT1,1
YRA1,1
