,Interactors,HRR25
0,ABP1,1
1,ACO1,1
2,ADO1,1
3,AIM41,1
4,ALD6,1
5,AMD1,1
6,AMS1,1
7,APE1,1
8,ARP8,1
9,ASC1,1
10,ASN1,1
11,ATG11,1
12,ATG19,4
13,ATG32,1
14,ATG34,3
15,ATG36,3
16,ATP4,1
17,BCK2,1
18,BMH1,1
19,BMH2,1
20,BNA1,1
21,BUD14,1
22,BUD16,1
23,BUD23,1
24,BUL2,1
25,CAF20,2
26,CAR2,2
27,CCR4,1
28,CDC25,3
29,CHS1,1
30,CKA2,1
31,CLC1,1
32,CMS1,1
33,COR1,1
34,CPA2,1
35,CRM1,1
36,CRZ1,5
37,CSM1,2
38,CYK3,1
39,CYS4,1
40,DCP1,3
41,DCP2,1
42,DED1,1
43,DHH1,4
44,DIM1,3
45,DNF1,1
46,DNM1,2
47,DOG2,1
48,DON1,1
49,DRS1,1
50,DSN1,1
51,EAF6,1
52,EDC3,1
53,EDE1,4
54,EGD2,1
55,ELP2,3
56,ELP3,1
57,ENP1,4
58,ENT3,1
59,ESL1,3
60,ESL2,4
61,FKS1,1
62,FPR3,1
63,GAC1,1
64,GAL10,1
65,GAS1,1
66,GBP2,1
67,GCN2,2
68,GCN3,1
69,GIC2,1
70,GIS4,1
71,GLC7,1
72,GLN3,1
73,GPH1,1
74,GSY1,1
75,GSY2,2
76,HAA1,2
77,HAP4,1
78,HEK2,1
79,HHF1,1
80,HOF1,1
81,HRI1,1
82,HRR25,2
83,HSP104,1
84,HSP82,1
85,HSV2,1
86,HXT7,1
87,HYP2,1
88,IKI3,5
89,IPP1,1
90,IRA1,1
91,IRA2,1
92,IRC19,1
93,IRC8,1
94,ISN1,1
95,ISW1,1
96,KRR1,1
97,KTI11,1
98,KTI12,1
99,LOC1,1
100,LRS4,1
101,LSP1,1
102,LTV1,2
103,MAM1,2
104,MAM33,1
105,MCH5,1
106,MDH1,1
107,MDM36,1
108,MDS3,3
109,MGE1,1
110,MIH1,1
111,MMS22,1
112,MPS1,2
113,MRPL10,1
114,MSN4,1
115,MSP1,1
116,MTD1,1
117,MVP1,1
118,NAB2,1
119,NAM7,1
120,NAS2,1
121,NMD4,1
122,NNK1,2
123,NNT1,1
124,NOB1,2
125,NOC4,1
126,NPR1,1
127,NSA1,1
128,NSP1,1
129,NUG1,1
130,NUP159,1
131,NUP53,1
132,NUP82,1
133,OYE2,1
134,OYE3,1
135,PAT1,1
136,PCL10,2
137,PET130,1
138,PEX14,1
139,PEX19,1
140,PEX3,1
141,PFS1,4
142,PIL1,1
143,PIN4,3
144,PMD1,2
145,POL2,1
146,PRS1,1
147,PTC3,1
148,PTC4,1
149,PUF2,1
150,PUF3,3
151,PXL1,1
152,QNS1,1
153,RAD51,1
154,RCK1,1
155,REC8,2
156,RIM15,1
157,RIO2,6
158,RNH70,1
159,ROK1,1
160,RPC19,1
161,RPL17A,1
162,RPL25,1
163,RPL26A,1
164,RPL31A,1
165,RPM2,6
166,RPN11,1
167,RPO21,3
168,RPS0A,1
169,RPS10A,1
170,RPS11A,1
171,RPS12,1
172,RPS13,1
173,RPS14A,1
174,RPS15,1
175,RPS17A,1
176,RPS17B,1
177,RPS18A,1
178,RPS19A,1
179,RPS1A,1
180,RPS2,2
181,RPS20,1
182,RPS22A,1
183,RPS24B,1
184,RPS27A,1
185,RPS3,1
186,RPS4A,1
187,RPS5,1
188,RPS6A,1
189,RPS7A,1
190,RPS8A,1
191,RPS9A,1
192,RPS9B,1
193,RPT5,1
194,RRG1,1
195,RRG8,1
196,RTC1,1
197,RTG3,1
198,SAK1,1
199,SAP185,1
200,SAP190,1
201,SAS10,1
202,SCP160,1
203,SEA4,1
204,SEC2,1
205,SEC23,2
206,SEC24,1
207,SEC31,1
208,SES1,1
209,SET3,1
210,SFB3,2
211,SGM1,1
212,SIT4,1
213,SKG6,1
214,SKY1,1
215,SLX9,1
216,SMC1,1
217,SMC3,1
218,SPC97,1
219,SPC98,1
220,SPO13,1
221,SPT21,1
222,SSA1,2
223,SSE2,1
224,STE3,1
225,SUN4,1
226,SWI6,1
227,TGL1,1
228,TIF6,1
229,TIS11,1
230,TMA17,1
231,TMA19,1
232,TMT1,1
233,TOM22,1
234,TOM40,1
235,TSR1,4
236,TUB4,1
237,TUF1,1
238,UBA1,1
239,ULP2,1
240,URA8,1
241,URE2,1
242,UTP10,1
243,UTP7,1
244,VAM6,1
245,VHS2,1
246,VID27,1
247,VMA4,1
248,VPS55,1
249,WHI3,1
250,YBR225W,2
251,YDR186C,1
252,YER138C,1
253,YMR196W,1
254,YMR295C,1
255,YNL058C,1
256,YPT1,1
257,YRA1,1
