Index,Symbol,ID
1,A1BG,1
2,A2M,2
3,A2MP1,3
9,NAT1,9
10,NAT2,10
11,NATP,11
12,SERPINA3,12
13,AADAC,13
14,AAMP,14
15,AANAT,15
16,AARS,16
17,AAVS1,17
18,ABAT,18
19,ABCA1,19
20,ABCA2,20
21,ABCA3,21
22,ABCB7,22
23,ABCF1,23
24,ABCA4,24
25,ABL1,25
26,AOC1,26
27,ABL2,27
28,ABO,28
29,ABR,29
30,ACAA1,30
31,ACACA,31
32,ACACB,32
33,ACADL,33
34,ACADM,34
35,ACADS,35
36,ACADSB,36
37,ACADVL,37
38,ACAT1,38
39,ACAT2,39
40,ASIC2,40
41,ASIC1,41
43,ACHE,43
46,ACLS,46
47,ACLY,47
48,ACO1,48
49,ACR,49
50,ACO2,50
51,ACOX1,51
52,ACP1,52
53,ACP2,53
54,ACP5,54
55,ACPP,55
56,ACRV1,56
58,ACTA1,58
59,ACTA2,59
60,ACTB,60
62,ACTBP2,62
63,ACTBP3,63
64,ACTBP4,64
66,ACTBP6,66
67,ACTBP7,67
68,ACTBP8,68
69,ACTBP9,69
70,ACTC1,70
71,ACTG1,71
72,ACTG2,72
73,ACTG1P1,73
74,ACTG1P2,74
75,ACTG1P3,75
78,ACTG1P6,78
79,ACTG1P7,79
80,ACTG1P8,80
81,ACTN4,81
82,ACTG1P9,82
83,ACTG1P10,83
86,ACTL6A,86
87,ACTN1,87
88,ACTN2,88
89,ACTN3,89
90,ACVR1,90
91,ACVR1B,91
92,ACVR2A,92
93,ACVR2B,93
94,ACVRL1,94
95,ACY1,95
97,ACYP1,97
98,ACYP2,98
100,ADA,100
101,ADAM8,101
102,ADAM10,102
103,ADAR,103
104,ADARB1,104
105,ADARB2,105
106,ADCP1,106
107,ADCY1,107
108,ADCY2,108
109,ADCY3,109
111,ADCY5,111
112,ADCY6,112
113,ADCY7,113
114,ADCY8,114
115,ADCY9,115
116,ADCYAP1,116
117,ADCYAP1R1,117
118,ADD1,118
119,ADD2,119
120,ADD3,120
122,ADFN,122
123,PLIN2,123
124,ADH1A,124
125,ADH1B,125
126,ADH1C,126
127,ADH4,127
128,ADH5,128
130,ADH6,130
131,ADH7,131
132,ADK,132
133,ADM,133
134,ADORA1,134
135,ADORA2A,135
136,ADORA2B,136
137,ADORA2BP1,137
140,ADORA3,140
141,ADPRH,141
142,PARP1,142
143,PARP4,143
144,PARP1P1,144
145,PARP1P2,145
146,ADRA1D,146
147,ADRA1B,147
148,ADRA1A,148
150,ADRA2A,150
151,ADRA2B,151
152,ADRA2C,152
153,ADRB1,153
154,ADRB2,154
155,ADRB3,155
156,GRK2,156
157,GRK3,157
158,ADSL,158
159,ADSS,159
160,AP2A1,160
161,AP2A2,161
162,AP1B1,162
163,AP2B1,163
