Interactors,Gene,cytoscape name,CSNK1E,CSNK1A1,CSNK1D,CSNK1A1L,Any
100506658,OCLN,9606.ENSP00000347379,1,1,1,0,2
94274,PPP1R14A,9606.ENSP00000301242,1,1,0,0,1
5501,PPP1CC,9606.ENSP00000341779,1,1,0,0,1
1131,CHRM3,9606.ENSP00000255380,1,0,2,0,2
114548,NLRP3,9606.ENSP00000337383,1,0,1,0,1
23239,PHLPP1,9606.ENSP00000262719,1,0,1,0,1
2737,GLI3,9606.ENSP00000379258,1,0,1,0,1
351,APP,9606.ENSP00000284981,0,5,0,0,5
406,ARNTL,9606.ENSP00000384517,0,3,0,0,3
5528,PPP2R5D,9606.ENSP00000417963,0,1,0,1,2
5529,PPP2R5E,9606.ENSP00000337641,0,1,0,0,1
57551,TAOK1,9606.ENSP00000261716,0,1,0,0,1
6095,RORA,9606.ENSP00000261523,0,1,0,0,1
642273,FAM110C,9606.ENSP00000328347,0,1,0,0,1
7770,ZNF227,9606.ENSP00000482749,0,1,0,0,1
79365,BHLHE41,9606.ENSP00000242728,0,1,0,0,1
79738,BBS10,9606.ENSP00000376946,0,1,0,0,1
8864,PER2,9606.ENSP00000254657,0,1,0,0,1
9138,ARHGEF1,9606.ENSP00000337261,0,1,0,0,1
9575,CLOCK,9606.ENSP00000308741,0,1,0,0,1
9975,NR1D2,9606.ENSP00000310006,0,1,0,0,1
9978,RBX1,9606.ENSP00000216225,0,1,0,0,1
25793,FBXO7,9606.ENSP00000266087,0,1,0,0,1
5499,PPP1CA,9606.ENSP00000326031,0,1,0,0,1
5789,PTPRD,9606.ENSP00000370593,0,1,0,0,1
122011,CSNK1A1L,9606.ENSP00000369126,0,0,1,0,1
114991,ZNF618,9606.ENSP00000288466,0,0,1,0,1
84445,LZTS2,9606.ENSP00000359240,0,0,1,0,1
10612,TRIM3,9606.ENSP00000433102,0,0,1,0,1
7132,TNFRSF1A,9606.ENSP00000162749,0,0,1,0,1
114088,TRIM9,9606.ENSP00000298355,0,0,1,0,1
1385,CREB1,9606.ENSP00000387699,0,0,1,0,1
3091,HIF1A,9606.ENSP00000437955,0,0,1,0,1
3791,KDR,9606.ENSP00000263923,0,0,1,0,1
541468,LURAP1,9606.ENSP00000361048,0,0,1,0,1
5861,RAB1A,9606.ENSP00000387286,0,0,1,0,1
64770,CCDC14,9606.ENSP00000420180,0,0,1,0,1
653121,ZBTB8A,9606.ENSP00000362609,0,0,1,0,1
23390,ZDHHC17,9606.ENSP00000403397,0,0,1,0,1
472,ATM,9606.ENSP00000278616,0,0,1,0,1
57154,SMURF1,9606.ENSP00000354621,0,0,1,0,1
64375,IKZF4,9606.ENSP00000262032,0,0,1,0,1
7534,YWHAZ,9606.ENSP00000379287,0,0,1,0,1
7813,EVI5,9606.ENSP00000359356,0,0,0,1,1
1053,CEBPE,9606.ENSP00000206513,0,0,0,1,1
58494,JAM2,9606.ENSP00000383376,0,0,0,1,1
