,CSNK1A1,CSNK1E,CSNK1D,HRR25,CSNK1A1L
10010,1.0,0.0,1.0,0.0,0.0
100506658,1.0,2.0,0.0,0.0,0.0
10112,1.0,0.0,1.0,0.0,1.0
102724631,1.0,0.0,0.0,0.0,0.0
10410,1.0,0.0,0.0,0.0,0.0
10450,1.0,0.0,0.0,0.0,0.0
10484,1.0,0.0,0.0,0.0,0.0
10551,1.0,0.0,0.0,0.0,0.0
10892,3.0,0.0,0.0,0.0,0.0
10987,1.0,0.0,0.0,0.0,0.0
11033,1.0,0.0,0.0,0.0,0.0
11052,1.0,0.0,0.0,0.0,0.0
11091,1.0,1.0,0.0,0.0,0.0
112399,1.0,0.0,0.0,0.0,0.0
1131,1.0,0.0,0.0,0.0,0.0
116143,1.0,0.0,0.0,0.0,0.0
1213,1.0,1.0,0.0,0.0,0.0
122011,1.0,0.0,0.0,0.0,1.0
124245,1.0,1.0,0.0,0.0,0.0
128866,1.0,0.0,0.0,0.0,1.0
1314,1.0,0.0,0.0,0.0,0.0
132724,1.0,0.0,0.0,0.0,0.0
135398,1.0,0.0,1.0,0.0,0.0
136263,2.0,2.0,2.0,0.0,0.0
140735,1.0,0.0,0.0,0.0,0.0
1432,1.0,0.0,0.0,0.0,0.0
10165,1.0,0.0,0.0,0.0,0.0
1025,1.0,0.0,1.0,0.0,0.0
10273,1.0,0.0,0.0,0.0,0.0
10483,1.0,0.0,0.0,0.0,0.0
10527,1.0,0.0,0.0,0.0,0.0
10598,1.0,0.0,0.0,0.0,0.0
10743,1.0,0.0,0.0,0.0,0.0
10856,1.0,0.0,0.0,0.0,0.0
10939,1.0,0.0,0.0,0.0,0.0
10971,1.0,0.0,0.0,0.0,0.0
10985,1.0,0.0,0.0,0.0,0.0
1104,1.0,0.0,0.0,0.0,0.0
11152,1.0,0.0,0.0,0.0,0.0
113828,1.0,0.0,0.0,0.0,0.0
114548,2.0,0.0,0.0,0.0,0.0
114991,3.0,2.0,3.0,0.0,0.0
143425,1.0,0.0,0.0,0.0,0.0
1453,2.0,4.0,1.0,0.0,0.0
1454,2.0,2.0,4.0,0.0,0.0
1499,1.0,0.0,0.0,0.0,0.0
153090,1.0,0.0,0.0,0.0,0.0
1653,1.0,0.0,0.0,0.0,0.0
203068,1.0,0.0,0.0,0.0,0.0
2077,1.0,0.0,0.0,0.0,0.0
2171,1.0,0.0,0.0,0.0,0.0
222584,3.0,1.0,0.0,0.0,1.0
2289,1.0,0.0,0.0,0.0,0.0
22931,1.0,0.0,0.0,0.0,0.0
23028,1.0,0.0,0.0,0.0,0.0
23095,1.0,0.0,0.0,0.0,0.0
2314,1.0,0.0,0.0,0.0,0.0
23164,1.0,0.0,0.0,0.0,0.0
23191,1.0,0.0,0.0,0.0,0.0
23239,1.0,0.0,0.0,0.0,0.0
23303,1.0,0.0,0.0,0.0,0.0
23367,1.0,0.0,0.0,0.0,0.0
23677,1.0,0.0,0.0,0.0,0.0
25776,1.0,0.0,0.0,0.0,0.0
26057,1.0,0.0,0.0,0.0,0.0
26130,4.0,4.0,3.0,0.0,1.0
26227,1.0,0.0,0.0,0.0,0.0
2673,1.0,0.0,0.0,0.0,0.0
2737,1.0,0.0,0.0,0.0,0.0
2783,1.0,0.0,0.0,0.0,0.0
283237,2.0,0.0,0.0,0.0,0.0
286077,1.0,1.0,1.0,0.0,1.0
28966,2.0,4.0,2.0,0.0,0.0
29925,1.0,0.0,0.0,0.0,0.0
29927,1.0,0.0,0.0,0.0,0.0
3007,1.0,0.0,0.0,0.0,0.0
3066,1.0,0.0,0.0,0.0,0.0
31,2.0,1.0,0.0,0.0,0.0
3146,1.0,0.0,0.0,0.0,0.0
3148,1.0,0.0,0.0,0.0,0.0
3161,5.0,1.0,2.0,0.0,1.0
3183,1.0,0.0,0.0,0.0,0.0
324,1.0,2.0,1.0,0.0,0.0
3301,1.0,0.0,0.0,0.0,0.0
3308,1.0,0.0,0.0,0.0,0.0
3320,2.0,0.0,0.0,0.0,0.0
3329,1.0,0.0,0.0,0.0,0.0
337867,1.0,0.0,0.0,0.0,0.0
3420,1.0,0.0,0.0,0.0,0.0
3612,1.0,0.0,0.0,0.0,0.0
3613,1.0,0.0,0.0,0.0,0.0
3688,1.0,0.0,0.0,0.0,0.0
3837,1.0,0.0,0.0,0.0,0.0
3838,1.0,0.0,0.0,0.0,0.0
3842,1.0,0.0,0.0,0.0,0.0
3930,1.0,0.0,0.0,0.0,0.0
3981,1.0,0.0,0.0,0.0,0.0
4008,1.0,0.0,0.0,0.0,0.0
4040,2.0,0.0,0.0,0.0,1.0
4041,2.0,0.0,0.0,0.0,1.0
4137,2.0,0.0,1.0,0.0,0.0
4141,1.0,0.0,0.0,0.0,0.0
4144,1.0,0.0,0.0,0.0,0.0
4163,1.0,2.0,2.0,0.0,0.0
4193,3.0,0.0,2.0,0.0,0.0
4194,12.0,0.0,0.0,0.0,1.0
4292,1.0,0.0,0.0,0.0,0.0
4501,1.0,0.0,0.0,0.0,0.0
4670,1.0,0.0,0.0,0.0,0.0
4710,1.0,0.0,0.0,0.0,0.0
4722,1.0,0.0,0.0,0.0,0.0
476,1.0,0.0,0.0,0.0,0.0
4792,1.0,0.0,0.0,0.0,0.0
488,1.0,0.0,0.0,0.0,0.0
4976,1.0,0.0,0.0,0.0,0.0
498,1.0,0.0,0.0,0.0,0.0
49854,1.0,0.0,0.0,0.0,0.0
506,1.0,0.0,0.0,0.0,0.0
509,1.0,0.0,0.0,0.0,0.0
51133,1.0,0.0,0.0,0.0,0.0
51163,2.0,0.0,0.0,0.0,0.0
51185,7.0,0.0,0.0,0.0,0.0
5144,1.0,0.0,0.0,0.0,0.0
5211,1.0,0.0,0.0,0.0,0.0
523,1.0,0.0,0.0,0.0,0.0
53615,1.0,0.0,0.0,0.0,0.0
54764,1.0,0.0,0.0,0.0,0.0
5515,1.0,0.0,0.0,0.0,0.0
55210,1.0,0.0,0.0,0.0,0.0
