#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
121860	1453	1857	107837	108190	-	-	CSNK1D	DVL3	ASPS|CKIdelta|FASPS2|HCKID	-	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q92997	-	NP_004414	-	-	-	-	-	-	Homo sapiens	Homo sapiens
241987	4163	1453	110333	107837	-	-	MCC	CSNK1D	MCC1	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.407	-	Exogenous expression of bait	-	BIOGRID	P23508	-	NP_001078846|NP_002378	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
277248	5187	1453	111210	107837	-	-	PER1	CSNK1D	PER|RIGUI|hPER	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-Western	physical	Camacho F (2001)	PUBMED:11165242	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15534	-	NP_002607	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279121	1453	2697	107837	108964	-	-	CSNK1D	GJA1	ASPS|CKIdelta|FASPS2|HCKID	AVSD3|CMDR|CX43|GJAL|HLHS1|HSS|ODDD	Biochemical Activity	physical	Cooper CD (2002)	PUBMED:12270943	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	P17302	-	NP_000156	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279122	2697	1453	108964	107837	-	-	GJA1	CSNK1D	AVSD3|CMDR|CX43|GJAL|HLHS1|HSS|ODDD	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-Western	physical	Cooper CD (2002)	PUBMED:12270943	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17302	-	NP_000156	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303595	10142	1453	115445	107837	-	-	AKAP9	CSNK1D	AKAP-9|AKAP350|AKAP450|CG-NAP|HYPERION|LQT11|MU-RMS-40.16A|PPP1R45|PRKA9|YOTIAO	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-Western	physical	Sillibourne JE (2002)	PUBMED:12270714	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99996	Q6PJH3|Q5GIA7	NP_005742|NP_671714|NP_001366206	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
314848	1453	1855	107837	108188	-	RP5-890O3.5	CSNK1D	DVL1	ASPS|CKIdelta|FASPS2|HCKID	DVL|DVL1L1|DVL1P1	Affinity Capture-Western	physical	Gao ZH (2002)	PUBMED:11818547	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	O14640	-	NP_001317240|NP_004412	-	-	-	-	-	-	Homo sapiens	Homo sapiens
590849	4193	1453	110358	107837	-	-	MDM2	CSNK1D	ACTFS|HDMX|hdm2	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-Western	physical	Inuzuka H (2010)	PUBMED:20708156	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
590850	1453	4193	107837	110358	-	-	CSNK1D	MDM2	ASPS|CKIdelta|FASPS2|HCKID	ACTFS|HDMX|hdm2	Biochemical Activity	physical	Inuzuka H (2010)	PUBMED:20708156	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	-	-	-	-	-	-	Homo sapiens	Homo sapiens
601883	1453	90861	107837	124774	-	LA16c-431H6.1	CSNK1D	HN1L	ASPS|CKIdelta|FASPS2|HCKID	C16orf34|L11	Two-hybrid	physical	Vinayagam A (2011)	PUBMED:21900206	9606	9606	High Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q9H910	-	NP_653171	-	-	-	-	-	-	Homo sapiens	Homo sapiens
674189	1453	3791	107837	109992	-	-	CSNK1D	KDR	ASPS|CKIdelta|FASPS2|HCKID	CD309|FLK1|VEGFR|VEGFR2	Affinity Capture-Western	physical	Shaik S (2012)	PUBMED:22711876	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	P35968	A0A024RD88	NP_002244	-	-	-	-	-	-	Homo sapiens	Homo sapiens
674190	1453	3791	107837	109992	-	-	CSNK1D	KDR	ASPS|CKIdelta|FASPS2|HCKID	CD309|FLK1|VEGFR|VEGFR2	Biochemical Activity	physical	Shaik S (2012)	PUBMED:22711876	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	P35968	A0A024RD88	NP_002244	-	-	-	-	-	-	Homo sapiens	Homo sapiens
676617	1453	2703390	107837	971427	-	HHV1gp082	CSNK1D	RL2	ASPS|CKIdelta|FASPS2|HCKID	-	Biochemical Activity	physical	Chaurushiya MS (2012)	PUBMED:22405594	9606	10298	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	P08393	G8HBH2	NP_044660	-	-	-	-	-	-	Homo sapiens	Human Herpesvirus 1
695551	5784	1453	111748	107837	RP11-176D17.1	-	PTPN14	CSNK1D	PEZ|PTP36	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-MS	physical	Wang W (2012)	PUBMED:22948661	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q15678	A8K6H6	NP_005392	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
717529	1453	7157	107837	113010	-	-	CSNK1D	TP53	ASPS|CKIdelta|FASPS2|HCKID	BCC7|LFS1|P53|TRP53	Biochemical Activity	physical	Kulikov R (2006)	PUBMED:16870621	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
