#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
97928	855436	855897	35556	35980	YNL284C	YPL204W	MRPL10	HRR25	MRPL18|mitochondrial 54S ribosomal protein YmL10/YmL18|YmL10|YmL18|L000002689|S000029308|L000002685	KTI14|serine/threonine protein kinase HRR25|L000000810	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P36520	-	NP_014115	P29295	-	NP_015120	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
98542	852224	855897	32643	35980	YBL056W	YPL204W	PTC3	HRR25	type 2C protein phosphatase PTC3|L000003426	KTI14|serine/threonine protein kinase HRR25|L000000810	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P34221	-	NP_009497	P29295	-	NP_015120	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
100130	855514	855897	35629	35980	YNL207W	YPL204W	RIO2	HRR25	protein kinase RIO2	KTI14|serine/threonine protein kinase HRR25|L000000810	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40160	-	NP_014192	P29295	-	NP_015120	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
100187	855897	855605	35980	35708	YPL204W	YNL118C	HRR25	DCP2	KTI14|serine/threonine protein kinase HRR25|L000000810	PSU1|decapping enzyme complex catalytic subunit DCP1|L000002866	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P29295	-	NP_015120	P53550	-	NP_014281	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
100188	855897	854901	35980	35067	YPL204W	YML074C	HRR25	FPR3	KTI14|serine/threonine protein kinase HRR25|L000000810	NPI46|peptidylprolyl isomerase FPR3|L000001268	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P29295	-	NP_015120	P38911	-	NP_013637	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
100189	855897	850647	35980	31238	YPL204W	YLL013C	HRR25	PUF3	KTI14|serine/threonine protein kinase HRR25|L000000810	mRNA-binding protein PUF3	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P29295	-	NP_015120	Q07807	-	NP_013088	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
100190	855897	856677	35980	36695	YPL204W	YEL034W	HRR25	HYP2	KTI14|serine/threonine protein kinase HRR25|L000000810	TIF51A|translation elongation factor eIF-5A|eIF-5A|eIF5A|L000000847|L000002307	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P29295	-	NP_015120	P23301	-	NP_010880	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
100191	855897	852235	35980	32652	YPL204W	YBL045C	HRR25	COR1	KTI14|serine/threonine protein kinase HRR25|L000000810	QCR1|ubiquinol--cytochrome-c reductase subunit COR1|L000000381	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P29295	-	NP_015120	P07256	-	NP_009508	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
100192	855897	852233	35980	32650	YPL204W	YBL047C	HRR25	EDE1	KTI14|serine/threonine protein kinase HRR25|L000000810	BUD15	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P29295	-	NP_015120	P34216	-	NP_009506	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
100193	855897	856700	35980	36716	YPL204W	YEL015W	HRR25	EDC3	KTI14|serine/threonine protein kinase HRR25|L000000810	DCP3|LSM16	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P29295	-	NP_015120	P39998	-	NP_010901	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
