#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
275130	1452	3146	107836	109389	-	RP11-550P23.1	CSNK1A1	HMGB1	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	HMG1|HMG3|SBP-1	Co-purification	physical	Dubois T (2002)	PUBMED:12062430	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48729	B4DER9|Q6PJ06	NP_001020276|NP_001258670|NP_001258671|NP_001883	P09429	A0A024RDR0|Q5T7C4	NP_001357270|NP_001350590|NP_001357269|NP_001357268|NP_002119|NP_001300821|NP_001300822	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275131	1452	3148	107836	109391	-	-	CSNK1A1	HMGB2	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	HMG2	Co-purification	physical	Dubois T (2002)	PUBMED:12062430	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48729	B4DER9|Q6PJ06	NP_001020276|NP_001258670|NP_001258671|NP_001883	P26583	-	NP_001124160|NP_002120|NP_001124161	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275132	1452	1104	107836	107529	-	RP4-669K10.2	CSNK1A1	RCC1	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	CHC1|RCC1-I|SNHG3-RCC1	Co-purification	physical	Dubois T (2002)	PUBMED:12062430	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48729	B4DER9|Q6PJ06	NP_001020276|NP_001258670|NP_001258671|NP_001883	P18754	Q5T081	NP_001041664|NP_001041659|NP_001368795|NP_001368794|NP_001260|NP_001041660	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275133	1452	94274	107836	125153	-	-	CSNK1A1	PPP1R14A	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	CPI-17|CPI17|PPP1INL	Co-purification	physical	Dubois T (2002)	PUBMED:12062430	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48729	B4DER9|Q6PJ06	NP_001020276|NP_001258670|NP_001258671|NP_001883	Q96A00	-	NP_150281|NP_001230876	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275134	1452	143425	107836	126802	-	-	CSNK1A1	SYT9	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	-	Co-purification	physical	Dubois T (2002)	PUBMED:12062430	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48729	B4DER9|Q6PJ06	NP_001020276|NP_001258670|NP_001258671|NP_001883	Q86SS6	-	NP_783860	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275135	1452	2077	107836	108388	-	-	CSNK1A1	ERF	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	CRS4|PE-2|PE2	Co-purification	physical	Dubois T (2002)	PUBMED:12062430	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48729	B4DER9|Q6PJ06	NP_001020276|NP_001258670|NP_001258671|NP_001883	P50548	A0A024R0L4	NP_001295331|NP_001287964|NP_001299585|NP_006485	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275136	1452	11033	107836	116222	-	-	CSNK1A1	ADAP1	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	CENTA1|GCS1L|p42IP4	Co-purification	physical	Dubois T (2002)	PUBMED:12062430	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48729	B4DER9|Q6PJ06	NP_001020276|NP_001258670|NP_001258671|NP_001883	O75689	A8K3A2|B4DUZ7	NP_006860|NP_001271240|NP_001271238|NP_001271237|NP_001271239	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275137	1452	3838	107836	110036	-	-	CSNK1A1	KPNA2	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	IPOA1|QIP2|RCH1|SRP1alpha	Affinity Capture-MS	physical	Dubois T (2002)	PUBMED:12062430	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48729	B4DER9|Q6PJ06	NP_001020276|NP_001258670|NP_001258671|NP_001883	P52292	Q7Z726	NP_001307540|NP_002257	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275138	1452	5515	107836	111507	-	-	CSNK1A1	PPP2CA	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	PP2Ac|PP2CA|PP2Calpha|RP-C	Affinity Capture-MS	physical	Dubois T (2002)	PUBMED:12062430	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48729	B4DER9|Q6PJ06	NP_001020276|NP_001258670|NP_001258671|NP_001883	P67775	B3KUN1	NP_001341948|NP_002706	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275139	1452	58	107836	106573	-	RP5-1068B5.2	CSNK1A1	ACTA1	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3	Affinity Capture-MS	physical	Dubois T (2002)	PUBMED:12062430	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48729	B4DER9|Q6PJ06	NP_001020276|NP_001258670|NP_001258671|NP_001883	P68133	-	NP_001091	-	-	-	-	-	-	Homo sapiens	Homo sapiens
