"Input Order","Search Term","Yeast GeneID","SGDID","Yeast Symbol","Species 2","Human GeneID","Human Species Gene ID","Human Symbol","Ensmbl ID  (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"1","RIO2","855514","S000005151","RIO2","Human","55781","18999","RIOK2","ENSG00000058729","13","12.73","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RIOK2)    DRscDB Data: (RIOK2)                             Human Protein Atlas  (HPA)"
"2","ENP1","852549","S000000451","ENP1","Human","705","1157","BYSL","ENSG00000112578","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (BYSL)    DRscDB Data: (BYSL)                             Human Protein Atlas  (HPA)"
"3","DHH1","851394","S000002319","DHH1","Human","1656","2747","DDX6","ENSG00000110367","13","12.81","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (DDX6)    DRscDB Data: (DDX6)                             Human Protein Atlas  (HPA)"
"4","PUF3","850647","S000003936","PUF3","Human","23369","14958","PUM2","ENSG00000055917","9","8.77","high","Yes","Yes","Compara, eggNOG, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (PUM2)    DRscDB Data: (PUM2)                             Human Protein Atlas  (HPA)"
"4","PUF3","850647","S000003936","PUF3","Human","9698","14957","PUM1","ENSG00000134644","8","7.82","moderate","No","Yes","Compara, eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (PUM1)    DRscDB Data: (PUM1)                             Human Protein Atlas  (HPA)"
"5","RPO21","851415","S000002299","RPO21","Human","5430","9187","POLR2A","ENSG00000181222","13","12.81","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (POLR2A)    DRscDB Data: (POLR2A)                             Human Protein Atlas  (HPA)"
"5","RPO21","851415","S000002299","RPO21","Human","643664","31351","SLC35G6","ENSG00000259224","2","1.94","low","No","No","Compara, OMA","","Add","G2F details (SLC35G6)    DRscDB Data: (SLC35G6)                             Human Protein Atlas  (HPA)"
"5","RPO21","851415","S000002299","RPO21","Human","11128","30074","POLR3A","ENSG00000148606","2","1.8","low","No","No","eggNOG, orthoMCL","","Add","G2F details (POLR3A)    DRscDB Data: (POLR3A)                             Human Protein Atlas  (HPA)"
"5","CAF20","854450","S000005802","CAF20","","none found","","","","","","","","","","","",""
"6","LTV1","853714","S000001626","LTV1","Human","84946","21173","LTV1","ENSG00000135521","7","6.77","high","Yes","Yes","Compara, eggNOG, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp","","Add","G2F details (LTV1)    DRscDB Data: (LTV1)                             Human Protein Atlas  (HPA)"
"6","MAM1","856843","S000000908","MAM1","","none found","","","","","","","","","","","",""
"7","MPS1","851533","S000002186","MPS1","Human","7272","12401","TTK","ENSG00000112742","10","9.73","high","Yes","Yes","Compara, eggNOG, Hieranoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (TTK)    DRscDB Data: (TTK)                             Human Protein Atlas  (HPA)"
