,HRR25
ABP1,[]
ACO1,[]
ADO1,[]
AIM41,[]
ALD6,[]
AMD1,[]
AMS1,[]
APE1,[]
ARP8,[]
ASC1,['RACK1']
ASN1,[]
ATG11,[]
ATG19,[]
ATG32,[]
ATG34,[]
ATG36,[]
ATP4,[]
BCK2,[]
BMH1,[]
BMH2,[]
BNA1,[]
BUD14,[]
BUD16,[]
BUD23,[]
BUL2,[]
CAF20,[]
CAR2,[]
CCR4,"['CNOT6L', 'CNOT6', 'ANGEL1']"
CDC25,[]
CHS1,[]
CKA2,[]
CLC1,[]
CMS1,[]
COR1,[]
CPA2,[]
CRM1,['XPO1']
CRZ1,"['SP3', 'KLF10']"
CSM1,[]
CYK3,[]
CYS4,[]
DCP1,"['DCP1A', 'DCP1B']"
DCP2,['DCP2']
DED1,[]
DHH1,['DDX6']
DIM1,[]
DNF1,[]
DNM1,[]
DOG2,[]
DON1,[]
DRS1,[]
DSN1,[]
EAF6,[]
EDC3,['EDC3']
EDE1,"['EPS15', 'EPS15L1', 'ITSN2', 'ITSN1', 'REPS1']"
EGD2,[]
ELP2,['ELP2']
ELP3,['ELP3']
ENP1,['BYSL']
ENT3,[]
ESL1,[]
ESL2,[]
FKS1,[]
FPR3,[]
GAC1,[]
GAL10,[]
GAS1,[]
GBP2,[]
GCN2,"['EIF2AK4', 'EIF2AK1']"
GCN3,[]
GIC2,[]
GIS4,[]
GLC7,[]
GLN3,[]
GPH1,[]
GSY1,[]
GSY2,[]
HAA1,[]
HAP4,[]
HEK2,"['PCBP3', 'PCBP2', 'PCBP1', 'PCBP4']"
HHF1,[]
HOF1,[]
HRI1,[]
HRR25,"['CSNK1D', 'CSNK1A1', 'TPTEP2-CSNK1E', 'CSNK1A1L', 'CSNK1E', 'VRK3', 'VRK2', 'VRK1']"
HSP104,[]
HSP82,"['HSP90AB1', 'HSP90AA1', 'HSP90AB3P', 'HSP90AB2P', 'HSP90AB4P', 'HSP90AA4P', 'HSP90AA5P', 'TRAP1']"
HSV2,[]
HXT7,[]
HYP2,[]
IKI3,[]
IPP1,[]
IRA1,[]
IRA2,[]
IRC19,[]
IRC8,[]
ISN1,[]
ISW1,"['SMARCA5', 'SMARCA1']"
KRR1,['KRR1']
KTI11,"['DPH3', 'DPH3P1']"
KTI12,['KTI12']
LOC1,[]
LRS4,[]
LSP1,[]
LTV1,['LTV1']
MAM1,[]
MAM33,[]
MCH5,[]
MDH1,[]
MDM36,[]
MDS3,[]
MGE1,[]
MIH1,"['CDC25A', 'CDC25B', 'CDC25C']"
MMS22,[]
MPS1,['TTK']
MRPL10,['MRPL15']
MSN4,[]
MSP1,[]
MTD1,[]
MVP1,[]
NAB2,['ZC3H14']
NAM7,"['UPF1', 'HELZ2']"
NAS2,[]
NMD4,[]
NNK1,"['MKNK1', 'CAMK4']"
NNT1,[]
NOB1,['NOB1']
NOC4,['NOC4L']
NPR1,[]
NSA1,[]
NSP1,[]
NUG1,[]
NUP159,[]
NUP53,['NUP35']
NUP82,[]
OYE2,[]
OYE3,[]
PAT1,"['PATL1', 'PATL2']"
PCL10,['CNPPD1']
PET130,[]
PEX14,['PEX14']
PEX19,[]
PEX3,[]
PFS1,[]
PIL1,[]
PIN4,[]
PMD1,[]
POL2,[]
PRS1,[]
PTC3,"['PPM1B', 'PPM1A', 'PPM1N', 'TAB1']"
PTC4,[]
PUF2,['PUM2']
PUF3,"['PUM2', 'PUM1']"
PXL1,[]
QNS1,[]
RAD51,[]
RCK1,"['STK33', 'CAMKV', 'PSKH1', 'PSKH2', 'PNCK', 'DCLK2', 'DCLK1', 'DCLK3']"
REC8,[]
RIM15,[]
RIO2,['RIOK2']
RNH70,[]
ROK1,[]
RPC19,[]
RPL17A,[]
RPL25,['RPL23A']
RPL26A,"['RPL26', 'RPL26L1']"
RPL31A,['RPL31']
RPM2,[]
RPN11,['PSMD14']
RPO21,['POLR2A']
RPS0A,['RPSA']
RPS10A,"['RPS10', 'RPS10P5', 'RPS10-NUDT3', 'PLEC']"
RPS11A,[]
RPS12,['RPS12']
RPS13,['RPS13']
RPS14A,['RPS14']
RPS15,['RPS15']
RPS17A,['RPS17']
RPS17B,[]
RPS18A,['RPS18']
RPS19A,['RPS19']
RPS1A,['RPS3A']
RPS2,['RPS2']
RPS20,['RPS20']
RPS22A,['RPS15A']
RPS24B,[]
RPS27A,"['RPS27', 'RPS27L']"
RPS3,['RPS3']
RPS4A,[]
RPS5,[]
RPS6A,['RPS6']
RPS7A,['RPS7']
RPS8A,['RPS8']
RPS9A,['RPS9']
RPS9B,[]
RPT5,[]
RRG1,[]
RRG8,[]
RTC1,['WDR24']
RTG3,"['MITF', 'TFEB', 'TFE3', 'USF2', 'TFEC']"
SAK1,"['CAMKK1', 'CAMKK2']"
SAP185,"['PPP6R3', 'PPP6R2', 'PPP6R1']"
SAP190,[]
SAS10,[]
SCP160,[]
SEA4,[]
SEC2,[]
SEC23,"['SEC23A', 'SEC23B']"
SEC24,"['SEC24B', 'SEC24A']"
SEC31,[]
SES1,[]
SET3,[]
SFB3,[]
SGM1,[]
SIT4,['PPP6C']
SKG6,[]
SKY1,[]
SLX9,[]
SMC1,[]
