#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
575859	12412	122011	198534	125755	RP23-353J21.1	-	Cbx1	CSNK1A1L	Cbx|Cbx-rs2|E430007M08Rik|HP1B|Hp1beta|M31|MOD1	CK1	Affinity Capture-MS	physical	Hutchins JR (2010)	PUBMED:20360068	10090	9606	High Throughput	-	-	-	-	BIOGRID	P83917	-	NP_031648	Q8N752	-	NP_660204	-	-	-	-	-	-	Mus musculus	Homo sapiens
665748	409	122011	106902	125755	-	-	ARRB2	CSNK1A1L	ARB2|ARR2|BARR2	CK1	Affinity Capture-MS	physical	Xiao K (2007)	PUBMED:17620599	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	P32121	K7ENA6|Q68DZ5|Q59EM5	NP_001244257|NP_001244259|NP_001244258|NP_001316993|NP_001244260|NP_004304|NP_945355	Q8N752	-	NP_660204	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
892713	122011	58494	125755	121824	-	UNQ219/PRO245	CSNK1A1L	JAM2	CK1	C21orf43|CD322|JAM-B|JAMB|PRO245|VE-JAM|VEJAM	Two-hybrid	physical	Wang J (2011)	PUBMED:21988832	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q8N752	-	NP_660204	P57087	-	NP_001257336|NP_001257337|NP_067042	-	-	-	-	-	-	Homo sapiens	Homo sapiens
895168	1053	122011	107482	125755	-	-	CEBPE	CSNK1A1L	C/EBP-epsilon|CRP1	CK1	Two-hybrid	physical	Wang J (2011)	PUBMED:21988832	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15744	-	NP_001796	Q8N752	-	NP_660204	-	-	-	-	-	-	Homo sapiens	Homo sapiens
934266	6119	122011	112039	125755	-	-	RPA3	CSNK1A1L	REPA3	CK1	Affinity Capture-MS	physical	Marechal A (2014)	PUBMED:24332808	9606	9606	High Throughput	-	-	-	-	BIOGRID	P35244	A4D105	NP_002938	Q8N752	-	NP_660204	-	-	-	-	-	-	Homo sapiens	Homo sapiens
934295	6118	122011	112038	125755	RP4-547C9.3	-	RPA2	CSNK1A1L	REPA2|RP-A p32|RP-A p34|RPA32	CK1	Affinity Capture-MS	physical	Marechal A (2014)	PUBMED:24332808	9606	9606	High Throughput	-	-	-	-	BIOGRID	P15927	B4DUL2	NP_001342057|NP_002937|NP_001284487|NP_001342058|NP_001273005	Q8N752	-	NP_660204	-	-	-	-	-	-	Homo sapiens	Homo sapiens
934324	6117	122011	112037	125755	-	-	RPA1	CSNK1A1L	HSSB|MST075|REPA1|RF-A|RP-A|RPA70	CK1	Affinity Capture-MS	physical	Marechal A (2014)	PUBMED:24332808	9606	9606	High Throughput	-	-	-	-	BIOGRID	P27694	-	NP_002936|NP_001342049|NP_001342050	Q8N752	-	NP_660204	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1104631	7133	122011	112987	125755	-	-	TNFRSF1B	CSNK1A1L	CD120b|TBPII|TNF-R-II|TNF-R75|TNFBR|TNFR1B|TNFR2|TNFR80|p75|p75TNFR	CK1	Reconstituted Complex	physical	Darnay BG (1994)	PUBMED:8051045	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20333	-	NP_001057	Q8N752	-	NP_660204	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1104632	122011	7133	125755	112987	-	-	CSNK1A1L	TNFRSF1B	CK1	CD120b|TBPII|TNF-R-II|TNF-R75|TNFBR|TNFR1B|TNFR2|TNFR80|p75|p75TNFR	Biochemical Activity	physical	Darnay BG (1994)	PUBMED:8051045	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q8N752	-	NP_660204	P20333	-	NP_001057	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1104633	122011	122011	125755	125755	-	-	CSNK1A1L	CSNK1A1L	CK1	CK1	Biochemical Activity	physical	Darnay BG (1994)	PUBMED:8051045	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q8N752	-	NP_660204	Q8N752	-	NP_660204	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1104634	122011	7132	125755	112986	-	-	CSNK1A1L	TNFRSF1A	CK1	CD120a|FPF|MS5|TBP1|TNF-R|TNF-R-I|TNF-R55|TNFAR|TNFR1|TNFR1-d2|TNFR55|TNFR60|p55|p55-R|p60	Biochemical Activity	physical	Darnay BG (1994)	PUBMED:8051045	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q8N752	-	NP_660204	P19438	-	NP_001333021|NP_001333020|NP_001056	-	-	-	-	-	-	Homo sapiens	Homo sapiens
